filename,tier,category,agency,publication_date,date_resolution,date_flag,dates_on_page1,container,payload_basis,pages,ocr_text_pages,inner_manifest,bytes,flags,duplicate_group,payload_sha256,file_sha256
H_G__Banaskantha_Bess_Private_Limited_BESS.pdf,Tier 3,BESS,CARE,"March 05, 2026",latest-not-future,FUTURE-DATES-IGNORED: 1,"March 05, 2026; December 23, 2026",PDF,file,5,0,no,196892,,,ffd885fd50adc54ea113fe89ef3727895b24fa8ab30e8308f4edfde31810b10e,ffd885fd50adc54ea113fe89ef3727895b24fa8ab30e8308f4edfde31810b10e
ICRA_Complexity_Indicator_Dec_2025.pdf,Tier 1,Methodology,ICRA,December 2025,latest-not-future,,December 2025; May 2021,PDF,file,6,0,no,571118,,,b42c6ae2af3a3848b1cd310d39a443a353bc3a8b8be52503b7ec28cce9e10d4f,b42c6ae2af3a3848b1cd310d39a443a353bc3a8b8be52503b7ec28cce9e10d4f
ICRA_Power_Solar_and_Wind_Rating_Methodology_July_2025.pdf,Tier 1,Methodology,ICRA,JULY 2025,latest-not-future,,"March 31, 2025; March 31, 2015; March 31,  2015; JULY 2025; July 2023",PDF,file,20,0,no,859069,,,2aecde1a328c26b63690c11ae4d66f1bd349acac64d97fa91c58cc245899a548,2aecde1a328c26b63690c11ae4d66f1bd349acac64d97fa91c58cc245899a548
ICRA_Project_Finance_Rating_Methodology_Nov_2022.pdf,Tier 1,Methodology,ICRA,November 2022,latest-not-future,,November 2022; October 2020,PDF,file,14,0,no,415718,,,fd7ecbaf6ba5dfd7b1d3723c3a171f6a8b4f631877974163f2af8987973aacb3,fd7ecbaf6ba5dfd7b1d3723c3a171f6a8b4f631877974163f2af8987973aacb3
India_Ratings_Criteria_Infrastructure_Project_Finance_27_May_2024.pdf,Tier 1,Methodology,India Ratings,27 May 2024,latest-not-future,,27 May 2024; May 2024,PDF,file,35,0,no,444949,,,b7a50118055ba9d34b959dcde457415b9bc6535e6c12c4a5daabe9e75efc48c9,b7a50118055ba9d34b959dcde457415b9bc6535e6c12c4a5daabe9e75efc48c9
India_Ratings_Evaluating_Corporate_Governance.pdf,Tier 1,Methodology,India Ratings,27 January 2026,latest-not-future,,27 January 2026; 25 January 2023; January 2026; January 2023,PDF,file,6,0,no,187092,,,4e14d3fdcf8c7e4f721c42b352b43b455b60554c709868e3aca811e83d9bcecd,4e14d3fdcf8c7e4f721c42b352b43b455b60554c709868e3aca811e83d9bcecd
Inox_Wind_Limited_Wind.pdf,Tier 3,Wind,CARE,"March 16, 2026",latest-not-future,,"March 16, 2026; December 31, 2025; March 31, 2025; August 2025; December 2025",PDF,file,7,0,no,229440,,,aca0d4754b1f0825f520a7b4c3e9e5c3af85c6bfa4fefea1aa7a4bc4e81ab9df,aca0d4754b1f0825f520a7b4c3e9e5c3af85c6bfa4fefea1aa7a4bc4e81ab9df
Jakson_Power_Private_Limited_Solar.pdf,Tier 3,Solar,CRISIL,"March 06, 2025",latest-not-future,,"March 06, 2025; May 2022; July 2021",PDF,file,11,0,no,421360,,,9cf85a328ce1429b9b1e9f2aa865313308c9c4225555936ce12817f91f81dac4,9cf85a328ce1429b9b1e9f2aa865313308c9c4225555936ce12817f91f81dac4
Juniper_Green_Bess_Zeta_Private_Limited_Wind__Solar__BESS.pdf,Tier 3,Wind-Solar-BESS,ICRA,"May 29, 2025",latest-not-future,FUTURE-DATES-IGNORED: 1,"May 29, 2025; March 2025; March 2027",PDF,file,8,0,no,620983,,,0ca8a7b593b5772a255c8ced6e4ea4a294dc7517018fbcc89a84da662a9d92c8,0ca8a7b593b5772a255c8ced6e4ea4a294dc7517018fbcc89a84da662a9d92c8
LoomSolar_Solar.pdf,Tier 3,Solar,Brickwork,31  Mar  2026,latest-not-future,,31  Mar  2026; Mar  2026,PDF,file,9,0,no,278655,,,3933d93c1332ac86efe8e5f940554186581e819fdd0d13e66c342b6e8fb43e98,3933d93c1332ac86efe8e5f940554186581e819fdd0d13e66c342b6e8fb43e98
Moodys_General_Project_Finance_Methodology.pdf,Tier 1,Methodology,Moodys,"JANUARY 12, 2022",latest-not-future,HEURISTIC-DISPUTED: page-1 revision history. CORE Section 12 cites this methodology as June 2021; resolved value is a later cross-reference.,"JANUARY 12, 2022; June 
2021",PDF,file,44,0,no,1710290,,,d84c488f5de8c8a984110d127907a5d807ad01777c46386103946ed067ec344e,d84c488f5de8c8a984110d127907a5d807ad01777c46386103946ed067ec344e
Morjar_Renewables_Private_Limited_Wind__Solar.pdf,Tier 3,Wind-Solar Hybrid,CARE,"March 30, 2026",latest-not-future,,"March 30, 2026",PDF,file,6,0,no,179901,,,b714e3ca077da17426aff9fdf70c66c0468e4f7308a2a1eb2befc9a07bf2950c,b714e3ca077da17426aff9fdf70c66c0468e4f7308a2a1eb2befc9a07bf2950c
Purvah_Green_Power_Private_Limited_Wind__Solar.pdf,Tier 3,Wind-Solar Hybrid,CARE,"November 27, 2025",latest-not-future,,"November 27, 2025; September 10, 2025",PDF,file,7,0,no,231619,,,e5815896d5c798c956adb06282d64798e7992d94caff67b190bac30fbac21dbd,e5815896d5c798c956adb06282d64798e7992d94caff67b190bac30fbac21dbd
ReNew_Power_Wind__Solar.pdf,Tier 3,Wind-Solar Hybrid,Brickwork,5  May  2025,latest-not-future,,5  May  2025; 6  May  2024; May  2025; May  2024,PDF,file,14,0,no,1077379,,,e6e4e6ddddcfcdcc50f7f185deb3825c8bdf6039d1c86928c1e63f7267b4e24c,e6e4e6ddddcfcdcc50f7f185deb3825c8bdf6039d1c86928c1e63f7267b4e24c
ReNew_Sandur_Green_Energy_Private_Limited_Wind__Solar.pdf,Tier 3,Wind-Solar Hybrid,India Ratings,"Jun 19, 2025",latest-not-future,FUTURE-DATES-IGNORED: 4,"30 June 2045; 31 March
2043; 6 June 2023; Jun 19, 2025; June 2045; March
2043; June 2023; March 2025",PDF,file,6,0,no,280636,,,8dac9ab202966b23320859b716fe4a92b91930f89e01d4727d62059e18ac7b57,8dac9ab202966b23320859b716fe4a92b91930f89e01d4727d62059e18ac7b57
ReNew_Solar_Power_Private_Limited_IndRa_Solar.pdf,Tier 3,Solar,India Ratings,"Mar 31, 2026",latest-not-future,,"Mar 31, 2026",PDF,file,6,0,no,234689,,,16317293bbfeeeaeb4e45d4064dd11c257b8bc72c1ab07427f004190710fc1f0,16317293bbfeeeaeb4e45d4064dd11c257b8bc72c1ab07427f004190710fc1f0
Renew_Solar_Power_Private_Limited_CARE_Solar.pdf,Tier 3,Solar,CARE,"April 08, 2026",latest-not-future,,"April 08, 2026; December 31, 2025; December 
2025; January 2026; December 2025",PDF,file,12,0,no,376544,,,85b2e42ab50479688593138a40974d54fc339a58dfa58b088552a83c19ed1f23,85b2e42ab50479688593138a40974d54fc339a58dfa58b088552a83c19ed1f23
SEI_Sitara_Private_Limited_Solar.pdf,Tier 3,Solar,CRISIL,"March 12, 2025",latest-not-future,,"March 12, 2025",PDF,file,12,0,no,296531,,,9b4fb33d86a91b780010819e49d9ac126f0739005926af1ec0dccf362aa1d505,9b4fb33d86a91b780010819e49d9ac126f0739005926af1ec0dccf362aa1d505
Solaire_Power_Private_Limited_Solar.pdf,Tier 3,Solar,CRISIL,"May 15, 2026",latest-not-future,,"May 15, 2026",PDF,file,15,0,no,388159,,,d3fbf760a4d6af8c31d9e3c3969cdd49cb53d819a931175bd174e42bed8449bb,d3fbf760a4d6af8c31d9e3c3969cdd49cb53d819a931175bd174e42bed8449bb
UP_Koraun_Urja_Private_Limited_Solar.pdf,Tier 3,Solar,India Ratings,"Apr 10, 2026",latest-not-future,,"Apr 10, 2026",PDF,file,11,0,no,230991,,,78687e7df62d975c6cea9aa9357de2b0fa24f89f4cf7e38f29bd1da825972155,78687e7df62d975c6cea9aa9357de2b0fa24f89f4cf7e38f29bd1da825972155
Zenataris_Renewable_Energy_Private_Limited_Wind__Solar.pdf,Tier 3,Wind-Solar Hybrid,ICRA,September 2025,latest-not-future,,"January 03, 2025; September 2024; March 2025; September 2025",PDF,file,7,0,no,402208,,,f72da855df95a543112e6f5ecde7dad1deeea3cd4c8fe28f1f3b777de24d38ff,f72da855df95a543112e6f5ecde7dad1deeea3cd4c8fe28f1f3b777de24d38ff
